LINEA;CAF;NOMBRE MOMENTANEO;CIUDAD;DEPARTAMENTO;FO DIA ACTUAL;ÁREA TOTAL;AREA REQUERIDA;ÁREA SALA DE ESPERA;Sala Espera;ÁREA ALMACENAMIENTO;No CAJAS;Modulos Front - Hoy;No CAJAS HOLGURA;CAPACIDAD SALA DE ESPERA;Sillas;CANON;CANON X FO;CANON X M2;CONSORCIO;CAPACIDAD;HOLGURA
AMB;CAF 209;UNICALI;SAN ANTERO;CORDOBA;145;77,8;105,14;27,71;43,96;38,36;2;3;1;24;10,25; $ 8.742.400 ; $ 60.385 ; $ 112.370 ;NO;200;55
AMB;CAF 210;SAF SAN MARCOS;GIRARDOT;CUNDINAMARCA;0;40,35;120,47;NA;50,03;40,35;2;3;0;NA;47; $ -   ; $ -   ; $ -   ;SI;200;200
AMB;CAF 211;SALAMINA;SAN JUAN DE BETULIA;SUCRE;120;45,8;111,03;13,5;46,30;25;2;3;1;12;10,75; $ 4.212.000 ; $ 35.186 ; $ 91.965 ;NO;200;80
AMB;CAF 212;COMPOSTELA;CALI;VALLE DEL CAUCA;0;85,75;117,02;22,36;48,66;40,92;3;3;1;18;46; $ 12.013.274 ; $ -   ; $ 140.096 ;NO;300;300
AMB;CAF 213;SAN ANTERO;CARTAGENA;BOLIVAR;191;68,3;124,52;22,43;51,63;36,96;3;3;1;16;12,25; $ 5.078.925 ; $ 26.564 ; $ 74.362 ;NO;300;109
AMB;CAF 214;FOLDERAMA GIRARDOT;PURISIMA;CORDOBA;115;144;101,30;50;42,45;11,04;3;3;1;48;9,75; $ 6.040.080 ; $ 52.519 ; $ 41.945 ;NO;300;185
AMB;CAF 215;SAF BETULIA;SANTA ROSA (BOLIVAR);BOLIVAR;182;72,78;101,77;23,61;42,63;36,01;2;3;2;16;10; $ -   ; $ -   ; $ -   ;SI;200;18
AMB;CAF 216;INGENIO;SANTA ANA;MAGDALENA;214;71,8;100,70;23,32;42,21;39,2;2;3;1;32;9,75; $ 3.893.824 ; $ 18.220 ; $ 54.232 ;NO;200;-14
AMB;CAF 217;SAF CANAPOTE;NEIRA;CALDAS;44;98,92;102,52;34,72;42,93;37,72;2;3;2;27;40; $ -   ; $ -   ; $ -   ;SI;200;156
AMB;CAF 218;SAF PURISIMA;MAHATES;BOLIVAR;205;47,19;105,28;17,24;44,02;19,25;3;3;0;12;10,25; $ -   ; $ -   ; $ -   ;SI;300;95
AMB;CAF 219;SAF SANTA ROSA BOLIVAR;SUPIA;CALDAS;31;100,05;139,12;32,32;45,29;53,41;4;3;0;25;42; $ -   ; $ -   ; $ -   ;SI;400;369
AMB;CAF 220;SAF SANTA ANA;TULUA;VALLE DEL CAUCA;53;106,5;154,29;34,94;63,40;34,72;5;4;0;30;61; $ -   ; $ -   ; $ -   ;SI;500;447
AMB;CAF 221;NEIRA;PALESTINA;CALDAS;22;131,5;112,99;31,64;41,29;47,88;3;2;0;18;38; $ 2.262.400 ; $ 100.765 ; $ 17.205 ;NO;300;278
AMB;CAF 222;SAF MAHATES;MORROA;SUCRE;134;80,49;105,25;24,17;44,01;56,32;3;3;0;24;10,25; $ -   ; $ -   ; $ -   ;SI;300;166
