LINEA;CAF;NOMBRE MOMENTANEO;CIUDAD;DEPARTAMENTO;FO DIA ACTUAL;ÁREA TOTAL;AREA REQUERIDA;ÁREA SALA DE ESPERA;Sala Espera;ÁREA ALMACENAMIENTO;No CAJAS;Modulos Front - Hoy;No CAJAS HOLGURA;CAPACIDAD SALA DE ESPERA;Sillas;CANON;CANON X FO;CANON X M2;CONSORCIO;CAPACIDAD;HOLGURA
AMB;CAF 306;COPEY;MEDELLIN;ANTIOQUIA;28;123,71;71,23;22,71;30,55;48,3;2;2;0;8;27; $ 1.279.613 ; $ 45.220 ; $ 10.344 ;NO;200;172
AMB;CAF 307;ALICANTE;MARQUETALIA;CALDAS;19;127,84;71,15;41,24;29,37;64,96;1;1;2;16;26; $ 6.799.410 ; $ 350.143 ; $ 53.187 ;NO;100;81
AMB;CAF 308;AGUACHICA;REGIDOR;BOLIVAR;53;70,31;72,43;23,2;31,03;32,71;2;2;1;16;7; $ 4.657.756 ; $ 88.396 ; $ 66.246 ;NO;200;147
AMB;CAF 309;SAF BAYUNCA;BELALCAZAR;CALDAS;10;28;66,85;13,34;28,82;11,7;1;1;0;14;25; $ -   ; $ -   ; $ -   ;SI;100;90
AMB;CAF 310;BELEN NUTIBARA;SALAMINA (MAG);MAGDALENA;61;32,23;65,74;14,46;28,38;15,5;2;1;0;4;6,25; $ 956.909 ; $ 15.771 ; $ 29.690 ;NO;200;139
AMB;CAF 311;MARQUETALIA;ALGARROBO;MAGDALENA;60;64,68;69,39;19,24;29,82;32,09;1;1;3;8;26; $ 1.500.000 ; $ 24.943 ; $ 23.191 ;NO;100;40
AMB;CAF 312;SAF REGIDOR;RISARALDA;CALDAS;40;70,47;65,40;20,77;27,73;25;1;1;0;14;24; $ -   ; $ -   ; $ -   ;SI;100;60
AMB;CAF 313;BELALCAZAR;SABANA DE TORRES;SANTANDER;2;82,19;68,00;29,49;29,28;39,25;2;1;0;33;26; $ 1.600.000 ; $ 806.250 ; $ 19.467 ;NO;200;198
AMB;CAF 314;SAN MIGUEL;BOGOTA;CUNDINAMARCA;28;57,2;85,20;14,15;33,37;38,29;3;2;0;9;30; $ 3.683.165 ; $ 132.634 ; $ 64.391 ;NO;300;272
AMB;CAF 315;ALGARROBO;PENSILVANIA;CALDAS;14;56,76;64,32;20,96;27,82;26,47;1;1;2;24;24; $ 1.159.700 ; $ 84.588 ; $ 20.432 ;NO;100;86
AMB;CAF 316;RISARALDA;BUCARAMANGA;SANTANDER;8;51;98,03;0;30,92;51;5;2;0;0;28; $ 15.000.000 ; $ 1.940.417 ; $ 294.118 ;NO;500;492
AMB;CAF 317;SABANA DE TORRES;MANIZALES;CALDAS;32;53;58,80;0;25,64;5,42;1;1;0;0;22; $ 1.500.000 ; $ 47.447 ; $ 28.302 ;NO;100;68
AMB;CAF 318;ASTURIAS;CARTAGENA;BOLIVAR;47;18,39;69,74;8,96;29,96;7,29;1;1;0;8;6,75; $ 8.124.221 ; $ 171.262 ; $ 441.774 ;NO;100;53
AMB;CAF 319;PENSILVANIA;MONTECRISTO;BOLIVAR;65;27,7;71,00;12,73;30,46;13,73;2;2;0;8;27; $ 1.131.200 ; $ 17.432 ; $ 40.838 ;NO;200;135
AMB;CAF 320;SAN LAUREANO;BOGOTA;CUNDINAMARCA;32;41,43;64,32;14,77;27,82;26,52;3;1;0;8;24; $ 2.667.719 ; $ 84.147 ; $ 64.391 ;NO;300;268
AMB;CAF 321;CAMELIA;NOROSI;BOLIVAR;39;36,23;70,08;13,39;30,10;18,91;2;2;0;11;27; $ 2.400.093 ; $ 61.115 ; $ 66.246 ;NO;200;161
AMB;CAF 322;SAF PASACABALLOS;BARRANQUILLA;ATLANTICO;12;22,5;69,23;0;28,82;20;1;1;0;0;25; $ -   ; $ -   ; $ -   ;SI;100;88
AMB;CAF 323;MONTECRISTO;VICTORIA;CALDAS;14;42,62;66,62;15,77;28,73;17,33;2;1;0;16;25; $ 1.250.854 ; $ 86.594 ; $ 29.349 ;NO;200;186
AMB;CAF 324;ALHAMBRA;BARRANQUILLA;ATLANTICO;49;23,24;62,54;7,54;27,12;14,1;1;1;1;8;6; $ 4.099.736 ; $ 84.225 ; $ 176.409 ;NO;100;51
AMB;CAF 325;NOROSI;CALI;VALLE DEL CAUCA;6;56,79;76,26;0;30,83;51;5;2;0;0;28; $ 1.869.584 ; $ 328.168 ; $ 32.921 ;NO;500;494
AMB;CAF 326;ATLANTICO;ORTEGA;TOLIMA;43;50,67;64,55;17;27,91;23;1;1;2;8;25; $ 1.808.463 ; $ 41.632 ; $ 35.691 ;NO;100;57
AMB;CAF 327;LA PASTORA;SANDONA;NARIÑO;0;61,42;49,01;18,9;26,82;10,3;3;2;0;8;23; $ 1.131.200 ; $ -   ; $ 18.417 ;NO;300;300
AMB;CAF 328;SAF JUAN MINA;TURBANA;BOLIVAR;51;24,31;65,93;10,9;28,46;11,8;1;1;0;8;6,25; $ -   ; $ -   ; $ -   ;SI;100;49
AMB;CAF 329;ESMERALDA;MARMATO;CALDAS;30;79,19;64,32;32,23;27,82;31,14;2;1;0;12;24; $ 2.324.147 ; $ 78.351 ; $ 29.349 ;NO;200;170
AMB;CAF 330;ORTEGA;ALGECIRAS;HUILA;40;85;62,71;19,59;27,19;52,27;1;1;1;12;24; $ 2.986.934 ; $ 74.834 ; $ 35.140 ;NO;100;60
AMB;CAF 331;SANDONA;BARRANQUILLA;ATLANTICO;53;40,78;65,07;15,61;28,12;19,81;1;1;1;8;6,25; $ 2.100.986 ; $ 39.887 ; $ 51.520 ;NO;100;47
AMB;CAF 332;SAF BALLESTAS;SAMANA;CALDAS;7;32,71;49,01;5,48;26,46;14,66;1;2;0;4;23; $ -   ; $ -   ; $ -   ;SI;100;93
AMB;CAF 333;MARMATO;LA UNION;VALLE DEL CAUCA;0;74,14;98,03;12,37;29,82;22,38;3;2;2;18;26; $ 983.500 ; $ -   ; $ 13.265 ;NO;300;300
AMB;CAF 334;ALGECIRAS;MAHATES;BOLIVAR;39;26,4;63,88;7,3;27,65;14,8;1;1;0;4;6; $ 1.114.656 ; $ 28.729 ; $ 42.222 ;NO;100;61
AMB;CAF 335;SAF LAS FLORES;PITAL;HUILA;26;113,4;58,57;46,65;25,55;44,94;3;1;0;12;22; $ -   ; $ -   ; $ -   ;SI;300;274
AMB;CAF 336;SAMANA;BARRANCABERMEJA;SANTANDER;1;50;61,79;;26,82;;;1;;;23; $ 1.112.800 ; $ 797.507 ; $ 22.256 ;NO;0;-1
AMB;CAF 337;VINEDOS;ORITO;PUTUMAYO;13;39,42;63,17;NA;27,37;31,27;2;1;0;NA;24; $ 1.653.472 ; $ 125.852 ; $ 41.945 ;NO;200;187
AMB;CAF 338;SAF SAN BASILIO DE PALENQUE;CANDELARIA (VAL);VALLE DEL CAUCA;51;65,15;49,01;19,05;27,55;30,5;3;2;0;20;24; $ -   ; $ -   ; $ -   ;SI;300;249
AMB;CAF 339;PITAL;TURBACO;BOLIVAR;22;25,72;61,25;12,15;26,61;12,78;2;1;0;12;5,75; $ 1.038.160 ; $ 47.026 ; $ 40.364 ;NO;200;178
AMB;CAF 340;CENTRO MAGDALENA MEDIO;CARTAGENA;BOLIVAR;0;12,39;60,61;NA;26,37;12,39;1;1;0;NA;23; $ 921.345 ; $ -   ; $ 74.362 ;NO;100;100
AMB;CAF 341;PIEDEMONTE;LIBANO;TOLIMA;3;54,51;62,25;12,34;27,00;31,84;2;1;1;6;24; $ 1.945.516 ; $ 571.039 ; $ 35.691 ;NO;200;197
AMB;CAF 342;SAN REMO;VALLEDUPAR;CESAR;0;72,02;58,57;23,4;25,55;46;3;1;0;14;22; $ 1.145.950 ; $ -   ; $ 15.912 ;NO;300;300
AMB;CAF 343;SAF CANAVERAL;PALENQUITO;BOLIVAR;15;24;61,10;7,8;26,55;13;1;1;0;4;23; $ -   ; $ -   ; $ -   ;SI;100;85
AMB;CAF 344;CIUDAD AMURALLADA;TIQUISIO NUEVO;BOLIVAR;10;24;57,95;8,1;25,30;13,2;1;1;0;4;5,5; $ 1.589.904 ; $ 164.671 ; $ 66.246 ;NO;100;90
AMB;CAF 345;LIBANO;CANTAGALLO;SANTANDER;0;23;56,96;;24,91;;;1;;;21; $ 1.359.793 ; $ 3.508.266 ; $ 59.121 ;NO;0;0
AMB;CAF 346;AUSTIN;PUERTO WILCHES;SANTANDER;2;21,15;57,19;6,16;25,00;8,4;2;1;0;3;22; $ 887.137 ; $ 433.487 ; $ 41.945 ;NO;200;198
AMB;CAF 347;PALENQUITO;FUNZA;CUNDINAMARCA;2;84,46;57,73;NA;25,55;84,46;4;1;0;NA;22; $ 3.542.675 ; $ 2.222.517 ; $ 41.945 ;NO;400;398
AMB;CAF 348;SAF TIQUISIO NUEVO;CASABE;SANTANDER;0;19,09;55,81;NA;24,46;19,09;1;1;0;0;21; $ -   ; $ -   ; $ -   ;SI;100;100
AMB;CAF 349;CANTAGALLO;FRESNO;TOLIMA;0;77,26;54,89;22,54;24,09;40,1;2;1;2;16;21; $ 2.757.487 ; $ -   ; $ 35.691 ;NO;200;200
AMB;CAF 350;PUERTO WILCHES;SOLEDAD;ATLANTICO;256;169;116,49;67;48,45;84;3;3;2;52;11,5; $ 751.287 ; $ 2.934 ; $ 4.445 ;NO;300;44
AMB;CAF 351;DOMI CRONICOS;BARRANQUILLA;ATLANTICO;0;120;176,38;35,1;72,14;61,6;7;5;0;18;70; $ 6.182.400 ; $ -   ; $ 51.520 ;NO;700;700
AMB;CAF 352;CASABE;BOGOTA;CUNDINAMARCA;0;86,2;200,31;31,63;81,60;53,64;3;6;0;24;80; $ 5.550.504 ; $ -   ; $ 64.391 ;NO;300;300
AMB;CAF 353;FRESNO;BOGOTA;CUNDINAMARCA;0;130,38;188,35;58,01;76,87;52,96;5;5;0;54;75; $ 2.205.000 ; $ -   ; $ 16.912 ;NO;500;500
AMB;CAF 354;SAF SANTA MARIA;BARRANQUILLA;ATLANTICO;0;214,18;219,51;83,7;87,61;100,84;9;6;0;51;86; $ -   ; $ -   ; $ -   ;SI;900;900
AMB;CAF 355;CAYENA ESPECIALIZADO MAC;BOGOTA;CUNDINAMARCA;0;259;242,47;105;106,26;129;11;8;2;99;105; $ 16.677.269 ; $ -   ; $ 64.391 ;NO;1100;1100
AMB;CAF 356;CENTRO MAYOR;BOGOTA;CUNDINAMARCA;0;92,53;65,47;35,06;28,28;45,02;5;1;0;30;25; $ 5.958.099 ; $ -   ; $ 64.391 ;NO;500;500
